Surface [m2],Rooms,Price [CHF/month],Country,City
43.0,2.0,565,France,Colmar
84.0,4.0,997,France,Colmar
71.0,3.0,892,France,Colmar
60.0,3.0,593,France,Colmar
85.0,3.0,787,France,Colmar
85.0,3.0,987,France,Colmar
31.0,3.0,619,France,Colmar
73.0,3.0,808,France,Colmar
79.0,5.0,1008,France,Colmar
62.0,3.0,861,France,Colmar
45.0,2.0,897,France,Colmar
43.0,2.0,577,France,Colmar
131.0,5.0,1249,France,Colmar
120.0,4.0,1018,France,Colmar
14.0,1.0,399,France,Colmar
69.0,3.0,906,France,Colmar
86.0,4.0,724,France,Colmar
45.0,2.0,603,France,Colmar
78.0,4.0,1386,France,Colmar
110.0,5.0,1501,France,Colmar
60.0,2.0,556,France,Colmar
44.0,1.5,724,France,Colmar
29.0,1.5,682,France,Colmar
13.0,1.0,414,France,Colmar
17.0,1.0,435,France,Colmar
101.0,4.0,987,France,Colmar
91.0,4.0,194,France,Colmar
80.0,3.0,59,France,Colmar
70.0,2.0,109,France,Colmar
60.0,1.0,85,France,Colmar
49.0,1.0,60,France,Colmar
39.0,2.0,72,France,Colmar
28.0,1.0,60,France,Colmar
18.0,1.0,342,France,Colmar
