Surface [m2],Rooms,Price [CHF/month],Country,City
43.0,2.0,565,France,Colmar
84.0,4.0,997,France,Colmar
71.0,3.0,892,France,Colmar
60.0,3.0,593,France,Colmar
85.0,3.0,787,France,Colmar
85.0,3.0,987,France,Colmar
31.0,3.0,619,France,Colmar
73.0,3.0,808,France,Colmar
79.0,5.0,1008,France,Colmar
62.0,3.0,861,France,Colmar
45.0,2.0,897,France,Colmar
43.0,2.0,577,France,Colmar
131.0,5.0,1249,France,Colmar
120.0,4.0,1018,France,Colmar
14.0,1.0,399,France,Colmar
69.0,3.0,906,France,Colmar
86.0,4.0,724,France,Colmar
45.0,2.0,603,France,Colmar
78.0,4.0,1386,France,Colmar
110.0,5.0,1501,France,Colmar
60.0,2.0,556,France,Colmar
44.0,1.5,724,France,Colmar
29.0,1.5,682,France,Colmar
13.0,1.0,414,France,Colmar
17.0,1.0,435,France,Colmar
101.0,4.0,987,France,Colmar
91.0,4.0,194,France,Colmar
80.0,3.0,59,France,Colmar
70.0,2.0,109,France,Colmar
60.0,1.0,85,France,Colmar
49.0,1.0,60,France,Colmar
39.0,2.0,72,France,Colmar
28.0,1.0,60,France,Colmar
18.0,1.0,342,France,Colmar
41.0,1.0,1074,Germany,Freiburg
18.0,1.0,824,Germany,Freiburg
46.0,1.0,1252,Germany,Freiburg
50.0,1.0,1252,Germany,Freiburg
26.0,1.0,918,Germany,Freiburg
24.0,1.0,449,Germany,Freiburg
60.0,2.0,522,Germany,Freiburg
34.0,1.0,626,Germany,Freiburg
50.0,2.0,1357,Germany,Freiburg
60.0,2.0,887,Germany,Freiburg
21.0,1.0,865,Germany,Freiburg
57.0,1.0,1461,Germany,Freiburg
74.0,2.0,1650,Germany,Freiburg
45.0,2.0,1096,Germany,Freiburg
100.0,3.0,940,Germany,Freiburg
85.0,3.0,1879,Germany,Freiburg
50.0,2.0,835,Germany,Freiburg
90.0,2.0,887,Germany,Freiburg
100.0,4.0,1462,Germany,Freiburg
80.0,3.0,1148,Germany,Freiburg
58.0,2.0,929,Germany,Freiburg
50.0,2.0,997,Germany,Freiburg
102.0,4.0,2088,Germany,Freiburg
55.0,2.0,835,Germany,Freiburg
109.0,4.0,1462,Germany,Freiburg
54.0,2.0,835,Germany,Freiburg
60.0,2.0,1044,Germany,Freiburg
76.0,3.0,1462,Germany,Freiburg
90.0,3.0,1378,Germany,Freiburg
65.0,3.0,935,Germany,Freiburg
36.0,1.0,783,Germany,Freiburg
65.0,2.0,658,Germany,Freiburg
40.0,3.0,611,Germany,Freiburg
50.0,2.0,1096,Germany,Freiburg
91.0,3.0,1045,Germany,Freiburg
100.0,2.0,887,Germany,Freiburg
38.0,2.0,793,Germany,Freiburg
89.0,3.0,103,Germany,Freiburg
90.0,3.0,1879,Germany,Freiburg
70.0,2.0,679,Germany,Freiburg
110.0,5.0,1775,Germany,Freiburg
60.0,2.0,835,Germany,Freiburg
120.0,6.0,365,Germany,Freiburg
80.0,4.0,804,Germany,Freiburg
95.0,3.0,877,Germany,Freiburg
80.0,3.0,1931,Germany,Freiburg
100.0,4.0,522,Germany,Freiburg
75.0,2.0,1493,Germany,Freiburg
60.0,3.0,1159,Germany,Freiburg
100.0,5.0,992,Germany,Freiburg
55.0,2.0,42,Germany,Freiburg
69.0,2.0,1044,Germany,Freiburg
27.0,1.0,699,Germany,Freiburg
42.0,2.0,679,Germany,Freiburg
60.0,3.0,1166,Germany,Freiburg
45.0,2.0,773,Germany,Freiburg
75.0,3.0,1148,Germany,Freiburg
85.0,2.0,1409,Germany,Freiburg
65.0,3.0,1409,Germany,Freiburg
75.0,3.0,1013,Germany,Freiburg
62.0,2.0,940,Germany,Freiburg
65.0,2.0,940,Germany,Freiburg
60.0,3.0,1201,Germany,Freiburg
62.0,2.0,1148,Germany,Freiburg
89.0,2.0,1305,Germany,Freiburg
54.0,2.0,1002,Germany,Freiburg
68.0,2.0,1378,Germany,Freiburg
41.0,2.0,1044,Germany,Freiburg
65.0,2.0,887,Germany,Freiburg
55.0,2.0,825,Germany,Freiburg
65.0,3.0,940,Germany,Freiburg
53.0,2.0,783,Germany,Freiburg
95.0,4.0,731,Germany,Freiburg
45.0,2.0,626,Germany,Freiburg
63.0,2.0,1039,Germany,Freiburg
60.0,2.0,940,Germany,Freiburg
